"","ev_id","ev_year","ev_month","prim_rsn","sec_rsn","sub1_rsn","sub2_rsn","sub3_rsn"
"9572","20101102X01100",2010,11,"Aircraft","Aircraft oper/perf/capability","Performance/control parameters","Directional control","Not attained/maintained "
"9573","20101102X04530",2010,10,"Aircraft","Aircraft systems","Flight control system","Elevator control system","Failure "
"9574","20101102X04530",2010,10,"Aircraft","Aircraft systems","Flight control system","Elevator control system","Fatigue/wear/corrosion "
"9575","20101102X04530",2010,10,"Aircraft","Aircraft oper/perf/capability","Performance/control parameters","(general)","Attain/maintain not possible "
"9576","20101102X13215",2010,10,"Environmental issues","Operating environment","Air traffic/operating proc","ATC clearance procedure","Accuracy of related info "
"9577","20101102X13215",2010,10,"Personnel issues","Action/decision","Info processing/decision","Decision making/judgment","Pilot "
"9578","20101102X13215",2010,10,"Personnel issues","Action/decision","Info processing/decision","Understanding/comprehension","Pilot "
"9579","20101102X13215",2010,10,"Personnel issues","Task performance","Use of equip/info","Aircraft control","Pilot "
"9580","20101102X13215",2010,10,"Aircraft","Aircraft oper/perf/capability","Aircraft capability","Climb capability","Capability exceeded "
"9581","20101102X13215",2010,10,"Aircraft","Aircraft oper/perf/capability","Performance/control parameters","(general)","Not attained/maintained "
"9582","20101102X13215",2010,10,"Environmental issues","Operating environment","Radar services/coverage","En route","Contributed to outcome "
"9583","20101102X13215",2010,10,"Personnel issues","Action/decision","Info processing/decision","Identification/recognition","ATC personnel "
"9584","20101102X13215",2010,10,"Environmental issues","Conditions/weather/phenomena","Wind","Downdraft","Contributed to outcome "
"9585","20101102X13215",2010,10,"Personnel issues","Action/decision","Info processing/decision","Identification/recognition","Pilot "
"9586","20101102X22920",2010,11,"Aircraft","Aircraft power plant","Engine (reciprocating)","(general)","Inoperative "
"9587","20101102X22920",2010,11,"Aircraft","Aircraft power plant","Engine controls","(general)","Incorrect use/operation "
"9588","20101102X22920",2010,11,"Aircraft","Aircraft oper/perf/capability","Performance/control parameters","Airspeed","Not attained/maintained "
"9589","20101102X34540",2010,11,"Aircraft","Aircraft structures","Wing structure","(general)","Failure "
"9590","20101102X34540",2010,11,"Aircraft","Aircraft structures","Fuselage","Wing attach fittings (on fus)","Failure "
"9591","20101102X34540",2010,11,"Not determined","Not determined","(general)","(general)","Unknown/Not determined "
"9592","20101102X85937",2010,10,"Personnel issues","Action/decision","Info processing/decision","Decision making/judgment","Pilot "
"9593","20101102X85937",2010,10,"Environmental issues","Physical environment","Runway/land/takeoff/taxi surfa","(general)","Decision related to condition "
"9594","20101102X85937",2010,10,"Environmental issues","Physical environment","Runway/land/takeoff/taxi surfa","(general)","Contributed to outcome "
"9595","20101103X13908",2010,10,"Personnel issues","Task performance","Use of equip/info","Use of equip/system","Pilot "
"9596","20101103X13908",2010,10,"Environmental issues","Physical environment","Object/animal/substance","Tree(s)","Response/compensation "
"9597","20101103X14153",2010,11,"Environmental issues","Conditions/weather/phenomena","Light condition","Dark","Not specified "
"9598","20101103X14153",2010,11,"Personnel issues","Task performance","Planning/preparation","Flight planning/navigation","Pilot "
"9599","20101103X14153",2010,11,"Aircraft","Aircraft oper/perf/capability","Performance/control parameters","Altitude","Incorrect use/operation "
"9600","20101103X34855",2010,11,"Personnel issues","Physical","(general)","(general)","Ground crew "
"9601","20101103X44221",2010,11,"Personnel issues","Task performance","Maintenance","Scheduled/routine maintenance","Maintenance personnel "
"9602","20101103X44221",2010,11,"Personnel issues","Action/decision","Info processing/decision","Decision making/judgment","Maintenance personnel "
"9603","20101103X44221",2010,11,"Environmental issues","Physical environment","Object/animal/substance","Ground vehicle","Not specified "
"9604","20101103X70916",2010,10,"Aircraft","Aircraft power plant","Engine controls","Power lever","Unintentional use/operation "
"9605","20101103X70916",2010,10,"Personnel issues","Task performance","Use of equip/info","Aircraft control","Pilot "
"9606","20101104X75554",2010,9,"Environmental issues","Physical environment","Runway/land/takeoff/taxi surfa","(general)","Contributed to outcome "
"9607","20101104X75554",2010,9,"Personnel issues","Action/decision","Info processing/decision","Decision making/judgment","Pilot "
"9608","20101105X05553",2010,10,"Aircraft","Aircraft systems","Fuel system","Fuel distribution","Incorrect service/maintenance "
"9609","20101105X05553",2010,10,"Personnel issues","Task performance","Maintenance","Scheduled/routine maintenance","Maintenance personnel "
"9610","20101105X14014",2010,11,"Aircraft","Aircraft oper/perf/capability","Performance/control parameters","Landing flare","Not attained/maintained "
"9611","20101105X14014",2010,11,"Personnel issues","Task performance","Use of equip/info","Aircraft control","Pilot "
"9612","20101105X53437",2010,11,"Personnel issues","Action/decision","Info processing/decision","Decision making/judgment","Pilot "
"9613","20101105X53437",2010,11,"Environmental issues","Conditions/weather/phenomena","Ceiling/visibility/precip","Low ceiling","Response/compensation "
"9614","20101105X53437",2010,11,"Personnel issues","Psychological","Perception/orientation/illusio","Spatial disorientation","Pilot "
"9615","20101106X00059",2010,11,"Not determined","Not determined","(general)","(general)","Unknown/Not determined "
"9616","20101106X00059",2010,11,"Environmental issues","Physical environment","Object/animal/substance","Residence/building","Not specified "
"9617","20101106X54407",2010,11,"Aircraft","Aircraft power plant","Engine fuel and control","Fuel control/carburetor","Damaged/degraded "
"9618","20101106X72545",2010,11,"Aircraft","Aircraft oper/perf/capability","Performance/control parameters","Directional control","Not attained/maintained "
"9619","20101106X72545",2010,11,"Environmental issues","Physical environment","Object/animal/substance","Tree(s)","Contributed to outcome "
"9620","20101106X72545",2010,11,"Personnel issues","Task performance","Use of equip/info","Aircraft control","Pilot "
"9621","20101106X84528",2010,11,"Environmental issues","Physical environment","Terrain","Rough terrain","Contributed to outcome "
"9622","20101106X84528",2010,11,"Aircraft","Aircraft power plant","Engine (reciprocating)","Recip engine power section","Failure "
"9623","20101108X42555",2010,11,"Personnel issues","Action/decision","Action","Incorrect action performance","Pilot "
"9624","20101108X42555",2010,11,"Environmental issues","Conditions/weather/phenomena","Wind","Downdraft","Contributed to outcome "
"9625","20101108X42555",2010,11,"Aircraft","Aircraft oper/perf/capability","Performance/control parameters","Descent/approach/glide path","Not attained/maintained "
"9626","20101108X42555",2010,11,"Environmental issues","Conditions/weather/phenomena","Wind","Downdraft","Response/compensation "
"9627","20101108X43405",2010,11,"Environmental issues","Conditions/weather/phenomena","Wind","Downdraft","Contributed to outcome "
"9628","20101108X43405",2010,11,"Aircraft","Aircraft oper/perf/capability","Performance/control parameters","Altitude","Not attained/maintained "
"9629","20101108X43405",2010,11,"Environmental issues","Physical environment","Terrain","Mountainous/hilly terrain","Not specified "
"9630","20101108X84714",2010,11,"Environmental issues","Physical environment","Object/animal/substance","Animal(s)/bird(s)","Effect on equipment "
