"","ev_id","ev_year","ev_month","ev_country","ev_state","ev_state_code","ev_city","latitude","longitude"
"179","20140913X32506",2014,9,"USA","ALASKA                        ","AK","Aniak",61.570981,-158.88072
"180","20001212X21881",2000,9,"USA","ALASKA                        ","AK","Aniak",61.570981,-158.88072
"181","20140603X83103",2014,5,"USA","ALASKA                        ","AK","Aniak",61.570981,-158.88072
"182","20080812X01219",2008,8,"USA","ALASKA                        ","AK","Aniak",61.570981,-158.88072
"183","20050607X00727",2005,6,"USA","ALASKA                        ","AK","Aniak",61.570981,-158.88072
"184","20030912X01529",2003,7,"USA","ALASKA                        ","AK","Aniak",61.570981,-158.88072
"185","20080118X00075",2008,1,"USA","ALASKA                        ","AK","Aniak",61.570981,-158.88072
"186","20110322X85332",2011,3,"USA","ALASKA                        ","AK","Aniak",61.570981,-158.88072
"187","20111024X63841",2011,10,"USA","ALASKA                        ","AK","Aniak",61.570981,-158.88072
"188","20030408X00457",2003,4,"USA","ALASKA                        ","AK","Aniak",61.570981,-158.88072
"189","20161216X23127",2016,12,"USA","ALASKA                        ","AK","Aniak",61.570981,-158.88072
"190","20100323X10754",2010,4,"USA","ALASKA                        ","AK","Aniak",61.570981,-158.88072
"191","20080306X00280",2008,2,"USA","ALASKA                        ","AK","Aniak",61.570981,-158.88072
"192","20111130X92124",2011,11,"USA","ALASKA                        ","AK","Aniak",61.570981,-158.88072
"193","20010614X01177",2001,6,"USA","ALASKA                        ","AK","Anvik",62.632905,-160.21336
"194","20010221X00485",2001,2,"USA","ALASKA                        ","AK","Anvik",62.632905,-160.21336
"195","20060111X00056",2005,12,"USA","ALASKA                        ","AK","Bethel",60.766603,-161.88006
"196","20131218X65303",2013,12,"USA","ALASKA                        ","AK","Bethel",60.766603,-161.88006
"197","20120914X53348",2012,9,"USA","ALASKA                        ","AK","Bethel",60.766603,-161.88006
"198","20050725X01095",2005,7,"USA","ALASKA                        ","AK","Bethel",60.766603,-161.88006
"199","20090506X83403",2009,5,"USA","ALASKA                        ","AK","Bethel",60.766603,-161.88006
"200","20161129X63442",2016,11,"USA","ALASKA                        ","AK","Bethel",60.766603,-161.88006
"201","20050616X00797",2005,4,"USA","ALASKA                        ","AK","Bethel",60.766603,-161.88006
"202","20010816X01712",2001,7,"USA","ALASKA                        ","AK","Bethel",60.766603,-161.88006
"203","20021025X05384",2002,10,"USA","ALASKA                        ","AK","Bethel",60.766603,-161.88006
"204","20051028X01750",2005,9,"USA","ALASKA                        ","AK","Bethel",60.766603,-161.88006
